pid,tid,picid,picgender,stroopWord,congruency,response,correctAns,sbjResp,sbjRT,sbjACC
74.0,157.0,85.0,female,Male,incongruent,go,g,g,552.2904779063538,1.0
74.0,158.0,28.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,159.0,35.0,male,Female,incongruent,nogo,None,None,,1.0
75.0,0.0,23.0,male,Male,congruent,go,g,None,,0.0
75.0,1.0,69.0,female,Female,congruent,nogo,None,g,480.4381312860642,0.0
75.0,2.0,38.0,male,Female,incongruent,go,g,None,,0.0
75.0,3.0,8.0,male,Male,congruent,go,g,g,532.6058312493842,1.0
75.0,4.0,94.0,female,Female,congruent,nogo,None,None,,1.0
75.0,5.0,19.0,male,Male,congruent,go,g,g,581.8820169370156,1.0
75.0,6.0,32.0,male,Male,congruent,go,g,g,534.9449422792532,1.0
75.0,7.0,42.0,male,Male,congruent,go,g,g,502.2719472472089,1.0
75.0,8.0,28.0,male,Male,congruent,go,g,g,519.1567729634698,1.0
75.0,9.0,49.0,male,Male,congruent,go,g,g,452.316275332123,1.0
75.0,10.0,25.0,male,Male,congruent,go,g,g,502.1035094978288,1.0
75.0,11.0,96.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,12.0,64.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,13.0,61.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,14.0,53.0,female,Female,congruent,nogo,None,None,,1.0
75.0,15.0,43.0,male,Male,congruent,go,g,g,500.09131256956607,1.0
75.0,16.0,13.0,male,Female,incongruent,go,g,g,466.2126897601411,1.0
75.0,17.0,35.0,male,Female,incongruent,go,g,g,485.8187809295487,1.0
75.0,18.0,88.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,19.0,85.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,20.0,76.0,female,Female,congruent,nogo,None,None,,1.0
75.0,21.0,31.0,male,Female,incongruent,go,g,g,619.2718720994891,1.0
75.0,22.0,46.0,male,Male,congruent,go,g,g,550.1798027253244,1.0
75.0,23.0,59.0,female,Female,congruent,nogo,None,None,,1.0
75.0,24.0,22.0,male,Female,incongruent,go,g,g,619.5000780280681,1.0
75.0,25.0,89.0,female,Female,congruent,nogo,None,None,,1.0
75.0,26.0,47.0,male,Male,congruent,go,g,g,450.4094274598174,1.0
75.0,27.0,60.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,28.0,27.0,male,Female,incongruent,go,g,g,650.0295671576168,1.0
75.0,29.0,81.0,female,Female,congruent,nogo,None,None,,1.0
75.0,30.0,66.0,female,Female,congruent,nogo,None,None,,1.0
75.0,31.0,84.0,female,Female,congruent,nogo,None,None,,1.0
75.0,32.0,36.0,male,Male,congruent,go,g,g,416.6566801432055,1.0
75.0,33.0,95.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,34.0,98.0,female,Female,congruent,nogo,None,None,,1.0
75.0,35.0,54.0,female,Female,congruent,nogo,None,None,,1.0
75.0,36.0,6.0,male,Female,incongruent,go,g,g,402.657029684633,1.0
75.0,37.0,65.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,38.0,91.0,female,Female,congruent,nogo,None,None,,1.0
75.0,39.0,41.0,male,Female,incongruent,go,g,g,452.6558675570414,1.0
75.0,40.0,97.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,41.0,90.0,female,Female,congruent,nogo,None,None,,1.0
75.0,42.0,40.0,male,Female,incongruent,go,g,g,486.2000297871418,1.0
75.0,43.0,37.0,male,Male,congruent,go,g,g,483.6961033288389,1.0
75.0,44.0,18.0,male,Female,incongruent,go,g,g,366.1866392649245,1.0
75.0,45.0,3.0,male,Female,incongruent,go,g,g,435.2892737078946,1.0
75.0,46.0,72.0,female,Female,congruent,nogo,None,None,,1.0
75.0,47.0,45.0,male,Female,incongruent,go,g,None,,0.0
75.0,48.0,21.0,male,Male,congruent,go,g,g,517.2100795607548,1.0
75.0,49.0,4.0,male,Male,congruent,go,g,g,469.5265058544464,1.0
75.0,50.0,87.0,female,Male,incongruent,nogo,None,g,519.6349187463056,0.0
75.0,51.0,15.0,male,Male,congruent,go,g,g,603.0058587784879,1.0
75.0,52.0,92.0,female,Female,congruent,nogo,None,None,,1.0
75.0,53.0,63.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,54.0,67.0,female,Female,congruent,nogo,None,None,,1.0
75.0,55.0,78.0,female,Female,congruent,nogo,None,None,,1.0
75.0,56.0,11.0,male,Female,incongruent,go,g,g,535.9287031460553,1.0
75.0,57.0,29.0,male,Male,congruent,go,g,g,633.7994751811493,1.0
75.0,58.0,73.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,59.0,70.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,60.0,79.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,61.0,34.0,male,Male,congruent,go,g,g,486.1632028769236,1.0
75.0,62.0,33.0,male,Male,congruent,go,g,g,519.6699344960507,1.0
75.0,63.0,51.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,64.0,58.0,female,Female,congruent,nogo,None,None,,1.0
75.0,65.0,86.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,66.0,99.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,67.0,2.0,male,Female,incongruent,go,g,g,399.7975124802906,1.0
75.0,68.0,10.0,male,Female,incongruent,go,g,g,602.8401377843693,1.0
75.0,69.0,80.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,70.0,20.0,male,Female,incongruent,go,g,g,500.11365019599907,1.0
75.0,71.0,44.0,male,Female,incongruent,go,g,g,519.5039116370026,1.0
75.0,72.0,30.0,male,Female,incongruent,go,g,g,519.509948848281,1.0
75.0,73.0,9.0,male,Male,congruent,go,g,g,433.7603541789576,1.0
75.0,74.0,52.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,75.0,24.0,male,Female,incongruent,go,g,None,,0.0
75.0,76.0,17.0,male,Female,incongruent,go,g,g,535.9896788140759,1.0
75.0,77.0,77.0,female,Male,incongruent,nogo,None,None,,1.0
75.0,78.0,62.0,female,Female,congruent,nogo,None,None,,1.0
75.0,79.0,75.0,female,Female,congruent,nogo,None,None,,1.0
75.0,80.0,23.0,male,Male,congruent,go,g,g,533.9325047680177,1.0
75.0,81.0,69.0,female,Female,congruent,nogo,None,None,,1.0
75.0,82.0,38.0,male,Female,incongruent,go,g,g,469.6463441650849,1.0
75.0,83.0,8.0,male,Male,congruent,go,g,g,433.76307090511546,1.0
75.0,84.0,94.0,female,Female,congruent,nogo,None,None,,1.0
75.0,85.0,19.0,male,Male,congruent,go,g,g,500.37566444370896,1.0
75.0,86.0,32.0,male,Male,congruent,go,g,g,552.7754945214838,1.0
75.0,87.0,42.0,male,Male,congruent,go,g,g,519.3496613355819,1.0
75.0,88.0,28.0,male,Male,congruent,go,g,g,452.9595384083223,1.0
75.0,89.0,49.0,male,Male,congruent,go,g,g,502.5958427286241,1.0
75.0,90.0,25.0,male,Male,congruent,go,g,g,552.4751441262197,1.0
