pid,tid,picid,picgender,correctAns,memCond,congruency,response,sbjResp,sbjRT,sbjACC
2.0,96.0,98.0,female,y,old,congruent,go,m,1386.7534815799445,0.0
2.0,97.0,24.0,male,n,new,,,n,969.7285826841835,1.0
2.0,98.0,85.0,female,y,old,incongruent,go,b,1053.1487761763856,1.0
2.0,99.0,95.0,female,y,old,congruent,go,b,1053.0621423968114,1.0
3.0,0.0,11.0,male,y,old,incongruent,go,v,1642.9587185848504,1.0
3.0,1.0,86.0,female,y,old,congruent,nogo,v,1786.9049706787337,1.0
3.0,2.0,61.0,female,y,old,congruent,nogo,m,1503.4824026515707,0.0
3.0,3.0,5.0,male,y,old,congruent,go,v,669.346072623739,1.0
3.0,4.0,13.0,male,y,old,congruent,go,v,1169.8240671830717,1.0
3.0,5.0,64.0,female,y,old,congruent,nogo,v,1270.0260414276272,1.0
3.0,6.0,74.0,female,y,old,incongruent,nogo,b,1403.5617615154479,1.0
3.0,7.0,73.0,female,y,old,incongruent,nogo,v,1486.7723638017196,1.0
3.0,8.0,34.0,male,n,new,,,m,786.0093534109183,1.0
3.0,9.0,62.0,female,y,old,incongruent,nogo,n,1269.8850730084814,0.0
3.0,10.0,95.0,female,n,new,,,m,1236.5410639322363,1.0
3.0,11.0,28.0,male,y,old,incongruent,go,m,1036.4450121996924,0.0
3.0,12.0,31.0,male,y,old,incongruent,go,m,1203.4071490634233,0.0
3.0,13.0,21.0,male,y,old,incongruent,go,b,1470.0475338031538,1.0
3.0,14.0,23.0,male,n,new,,,m,1286.5232693147846,1.0
3.0,15.0,18.0,male,n,new,,,m,769.4816377479583,1.0
3.0,16.0,58.0,female,y,old,congruent,nogo,n,1553.2931518100668,0.0
3.0,17.0,77.0,female,y,old,incongruent,nogo,m,1620.1363258005586,0.0
3.0,18.0,9.0,male,y,old,congruent,go,m,1119.7060250269715,0.0
3.0,19.0,54.0,female,y,old,incongruent,nogo,b,1253.2492916216142,1.0
3.0,20.0,4.0,male,y,old,incongruent,go,b,1386.731884413166,1.0
3.0,21.0,65.0,female,y,old,congruent,nogo,n,2003.8888565031812,0.0
3.0,22.0,38.0,male,y,old,incongruent,go,,,0.0
3.0,23.0,57.0,female,n,new,,,v,1886.8286304059438,0.0
3.0,24.0,51.0,female,y,old,incongruent,nogo,m,1036.4579921588302,0.0
3.0,25.0,41.0,male,y,old,congruent,go,v,1036.4127132343128,1.0
3.0,26.0,53.0,female,y,old,incongruent,nogo,v,886.3960656744894,1.0
3.0,27.0,72.0,female,y,old,congruent,nogo,v,1102.989948965842,1.0
3.0,28.0,12.0,male,y,old,incongruent,go,b,1903.6195676308125,1.0
3.0,29.0,43.0,male,n,new,,,b,1136.3961411407217,0.0
3.0,30.0,66.0,female,n,new,,,n,1736.8732603499666,1.0
3.0,31.0,89.0,female,y,old,incongruent,nogo,,,0.0
3.0,32.0,44.0,male,y,old,congruent,go,v,1236.5558550227433,1.0
3.0,33.0,63.0,female,y,old,incongruent,nogo,m,953.1547190272249,0.0
3.0,34.0,20.0,male,y,old,congruent,go,n,1186.6240601812024,0.0
3.0,35.0,0.0,male,y,old,congruent,go,b,1486.6147931024898,1.0
3.0,36.0,88.0,female,y,old,incongruent,nogo,m,1603.6463425552938,0.0
3.0,37.0,2.0,male,y,old,congruent,go,m,1153.1339510984253,0.0
3.0,38.0,48.0,male,y,old,congruent,go,v,1303.3129990799353,1.0
